barrcodi,barrnombre,barrtension,lat,lon,metodo
829,REQUE 22.9,22.9,-11.965,-75.035,nominal
830,SJMARCONA33,33,-15.36,-75.22999999999999,localidad:MARCONA
831,GE1-13.8,13.8,-16.490000000000002,-71.61999999999999,localidad:GE1
832,HUALLIN6,6,-11.635,-77.27,localidad:HUALLIN
833,VALLE DEL CHIRA 220,220,-4.9350000000000005,-80.97,localidad:VALLE DEL CHIRA
834,VALLE DEL CHIRA 60,60,-4.9,-80.97,localidad:VALLE DEL CHIRA
835,TINGO MARIA 22.9,22.9,-9.265,-76.07,localidad:TINGO MARIA
836,CAJAMARCA 10,10,-7.16,-78.58,localidad:CAJAMARCA
837,TRUJILLO SUR 10,10,-8.18,-79.065,localidad:TRUJILLO
838,ELECTROSUR 22.9,22.9,-11.93,-75.035,nominal
839,TUPURI 2.4,2.4,-13.735,-73.07,localidad:TUPURI
840,SAN MIGUEL 220,220,-12.07,-75.0,nominal
841,MANCHAY 220,220,-12.035,-75.0,nominal
842,SAN MARTIN 220,220,-12.120000000000001,-77.11999999999999,localidad:SAN MARTIN
843,MINA 60,60,-15.265,-75.16999999999999,localidad:MINA
844,JAHUAY 60,60,-13.535,-75.97,localidad:JAHUAY
845,BELLA UNION 60,6,-15.47,-74.66999999999999,localidad:BELLA UNION
846,CHALA 60,60,-15.93,-74.32,localidad:CHALA
847,PAQUILLUSI 220,220,-17.27,-70.97,localidad:PAQUILLUSI
848,SANTA ANA 138,138,-12.825,-72.75999999999999,localidad:SANTA ANA
849,SUNNY 220,220,-4.82,-81.11999999999999,localidad:SUNNY
850,CAMPAMENTO VILLA AZUL 4.16,4.16,-12.0,-75.0,nominal
851,CHILOTA 220,220,-17.605,-71.305,localidad:ILO
852,LOMAS 60,60,-15.64,-74.91999999999999,localidad:LOMAS
853,HUARANGO 60,60,-5.32,-78.97,localidad:HUARANGO
854,FUNSUR 60,60,-13.77,-76.28999999999999,localidad:FUNSUR
855,PLANTA CASA GRANDE 13.8,13.8,-7.82,-79.25999999999999,localidad:PLANTA CASA GRANDE
856,SANTIAGO DE CAO 138,138,-7.995,-79.30999999999999,localidad:SANTIAGO DE CAO
857,CS COENERGY 22.9,22.9,-13.870000000000001,-75.97,localidad:CS COENERGY
858,ALIPIO ROSALES 60,60,-11.965,-75.0,nominal
859,MIRONES 10,10,-11.93,-75.0,nominal
860,MALVINAS 22.9,22.9,-12.07,-74.965,nominal
861,RIOJA 23,23,-12.035,-74.965,nominal
862,VINAÑI 10,10,-12.0,-74.965,nominal
863,COLAN 60,60,-11.965,-74.965,nominal
864,TIERRAS NUEVAS 220,220,-11.93,-74.965,nominal
865,MIGUEL GRAU 60,60,-12.07,-74.93,nominal
866,AMERICA 220,220,-14.035,-75.765,localidad:ICA
